Area,Perimeter,Diameter,Class
819972,5089.674816,1021.773349,Aesculus chinensis
832990,6140.833329,1029.852324,Aesculus chinensis
841407,4997.868684,1035.04235,Aesculus chinensis
846440,4914.45447,1038.133363,Aesculus chinensis
893980,5787.311468,1066.88832,Aesculus chinensis
583371,3079.659305,861.841648,Aesculus chinensis
630970,3222.009594,896.312421,Aesculus chinensis
656104,3326.436001,913.989911,Aesculus chinensis
711827,3437.313201,952.011704,Aesculus chinensis
715232,3385.146679,954.285946,Aesculus chinensis
745941,3692.048266,974.557119,Aesculus chinensis
755141,3559.247184,980.548511,Aesculus chinensis
764054,3479.957862,986.318289,Aesculus chinensis
768026,3575.3031,988.878696,Aesculus chinensis
768525,3480.023879,989.199889,Aesculus chinensis
769234,3555.486866,989.656076,Aesculus chinensis
775039,3682.315293,993.383261,Aesculus chinensis
784168,3574.970055,999.216547,Aesculus chinensis
785020,3532.876693,999.759225,Aesculus chinensis
793200,3561.629001,1004.95453,Aesculus chinensis
802598,3731.687876,1010.890455,Aesculus chinensis
805714,3615.70512,1012.850891,Aesculus chinensis
809646,3649.119333,1015.319312,Aesculus chinensis
812645,3641.898987,1017.197989,Aesculus chinensis
813713,4229.827053,1017.866185,Aesculus chinensis
813931,4041.275754,1018.002523,Aesculus chinensis
819145,3811.133619,1021.257953,Aesculus chinensis
820738,3751.629001,1022.250496,Aesculus chinensis
821821,3640.644153,1022.924726,Aesculus chinensis
825662,3740.842205,1025.312396,Aesculus chinensis
825848,3956.224889,1025.427877,Aesculus chinensis
825936,3856.26652,1025.482509,Aesculus chinensis
829108,3671.881743,1027.4498,Aesculus chinensis
829162,3584.200503,1027.483259,Aesculus chinensis
837444,3732.959954,1032.601965,Aesculus chinensis
846616,4057.788381,1038.241287,Aesculus chinensis
847034,3650.769045,1038.497561,Aesculus chinensis
847582,3680.734557,1038.833442,Aesculus chinensis
851001,3774.457429,1040.926571,Aesculus chinensis
858392,3775.972147,1045.437057,Aesculus chinensis
858780,3783.812768,1045.673303,Aesculus chinensis
859147,3823.722364,1045.896713,Aesculus chinensis
860305,3824.232032,1046.601331,Aesculus chinensis
863727,3654.82792,1048.680777,Aesculus chinensis
864173,3786.10714,1048.951494,Aesculus chinensis
865438,4574.939751,1049.718955,Aesculus chinensis
868818,3753.244225,1051.766816,Aesculus chinensis
870265,3978.239174,1052.6423,Aesculus chinensis
870359,3776.391411,1052.699148,Aesculus chinensis
872036,3736.710171,1053.712826,Aesculus chinensis
873932,3758.994442,1054.857707,Aesculus chinensis
874277,4004.474672,1055.065898,Aesculus chinensis
881323,3810.349781,1059.308876,Aesculus chinensis
887649,4085.854398,1063.103856,Aesculus chinensis
888734,3989.972147,1063.753389,Aesculus chinensis
888736,3917.067602,1063.754586,Aesculus chinensis
889309,3792.374167,1064.097452,Aesculus chinensis
891441,3840.474672,1065.372204,Aesculus chinensis
896875,3902.516303,1068.614391,Aesculus chinensis
897450,3815.663489,1068.956888,Aesculus chinensis
907314,3860.776188,1074.815363,Aesculus chinensis
917528,3740.575178,1080.848247,Aesculus chinensis
918774,3825.185351,1081.581892,Aesculus chinensis
920207,3823.136577,1082.425028,Berberis anhweiensis
922188,3918.356923,1083.589511,Berberis anhweiensis
924251,3910.232032,1084.800868,Berberis anhweiensis
930828,3881.528496,1088.653764,Berberis anhweiensis
938827,3869.202595,1093.32139,Berberis anhweiensis
947855,3958.342638,1098.565641,Berberis anhweiensis
967536,3933.653388,1109.912202,Berberis anhweiensis
980293,4308.849348,1117.205358,Berberis anhweiensis
994317,4136.163056,1125.168309,Berberis anhweiensis
995655,4168.214788,1125.925095,Berberis anhweiensis
1006143,3928.048266,1131.839677,Berberis anhweiensis
214844,1919.959595,523.018046,Berberis anhweiensis
220552,1953.248917,529.920304,Berberis anhweiensis
221067,1882.344371,530.538638,Berberis anhweiensis
229484,1959.574819,540.544266,Berberis anhweiensis
231796,1973.415439,543.260374,Berberis anhweiensis
232934,2042.604256,544.592306,Berberis anhweiensis
234236,2026.469263,546.112203,Berberis anhweiensis
235988,2053.876334,548.150758,Berberis anhweiensis
237104,2011.190042,549.445347,Berberis anhweiensis
238313,2088.452019,550.844384,Berberis anhweiensis
243581,1956.871283,556.899418,Berberis anhweiensis
243811,2022.344371,557.16228,Berberis anhweiensis
244291,1936.912914,557.710464,Berberis anhweiensis
244329,2041.373808,557.753839,Berberis anhweiensis
248844,2119.474314,562.883666,Berberis anhweiensis
251734,2077.055049,566.142812,Berberis anhweiensis
254532,2151.917964,569.28043,Berberis anhweiensis
257441,2185.758585,572.524289,Berberis anhweiensis
