Height,Minutes,Points,2P-Field-Goals-Perc,3P-Field-Goals-Perc,Free-Throws,Rebounds,Assists,Blocks,Turnovers,Global-Assessment,Position
1.9,23.17,7.4,50.4,29.6,70.8,4.3,0.8,0.3,0.9,7.6,Center
1.78,29.3,10.9,50.5,32.6,81.1,3.9,3.8,0.0,1.5,11.8,Shooting-Guard
1.9,18.4,7.9,52.8,100.0,60.0,5.3,0.5,0.5,0.7,9.8,Center
1.83,27.41,9.2,54.4,32.4,74.3,2.9,2.7,0.2,0.8,8.4,Small-Forward
1.66,25.47,6.5,38.4,30.2,82.1,2.5,3.3,0.0,1.2,8.2,Point-Guard
1.67,26.16,8.2,47.7,32.3,78.9,2.8,3.2,0.0,1.1,7.7,Point-Guard
1.83,24.58,7.0,41.6,31.0,71.8,2.9,1.3,0.1,1.3,7.4,Shooting-Guard
1.7,28.2,7.4,36.3,34.9,81.8,4.0,1.6,0.1,1.1,6.6,Shooting-Guard
1.84,21.2,6.6,41.8,29.0,80.4,2.8,1.0,0.1,0.8,5.6,Small-Forward
1.85,17.37,5.2,40.5,16.5,47.9,3.3,0.7,0.5,0.9,4.0,Small-Forward
1.93,21.2,7.2,41.3,29.9,64.7,3.8,0.8,0.3,0.6,6.5,Power-Forward
1.83,32.33,12.6,42.8,32.4,70.8,8.5,1.7,0.3,1.7,15.8,Power-Forward
1.86,26.37,12.5,53.2,35.1,80.2,5.3,1.5,0.5,1.5,14.3,Power-Forward
1.88,25.49,9.0,48.4,40.0,62.4,5.9,1.3,1.0,1.7,12.7,Power-Forward
1.85,32.2,15.1,45.0,39.6,70.8,8.5,1.3,0.2,1.0,15.7,Power-Forward
1.88,25.45,11.3,57.5,34.1,70.6,6.9,1.8,0.8,1.3,14.9,Power-Forward
1.83,30.18,13.1,50.5,26.9,67.6,6.3,1.9,0.4,1.6,15.4,Power-Forward
1.91,24.32,7.2,41.8,23.2,67.0,5.5,1.2,0.4,1.5,8.7,Center
1.93,22.44,8.8,48.6,16.7,64.9,6.8,0.5,0.8,0.9,10.9,Center
1.94,19.15,9.5,54.4,13.6,63.6,4.3,0.5,0.6,0.6,9.1,Center
1.93,24.51,12.7,58.5,0.0,51.4,7.4,0.6,0.7,0.7,14.3,Center
1.91,22.32,8.5,58.8,0.0,66.2,8.4,0.8,0.5,0.7,13.5,Center
1.88,26.19,12.5,51.7,18.3,72.5,4.9,1.6,0.6,0.8,11.8,Center
1.9,19.04,9.1,53.0,33.3,73.6,4.6,0.5,0.3,0.4,10.2,Center
1.89,25.26,14.3,54.1,20.0,58.3,6.8,1.0,0.5,0.8,16.4,Center
1.83,33.5,19.3,48.6,33.9,73.4,4.3,1.8,0.1,1.7,16.9,Power-Forward
1.77,25.16,7.0,45.2,24.2,62.4,5.4,1.3,0.1,1.7,9.4,Small-Forward
1.8,27.53,11.4,45.2,37.8,67.0,7.8,1.7,0.4,1.6,14.8,Power-Forward
1.85,20.12,9.1,52.0,14.3,67.4,5.1,0.4,0.1,1.0,9.7,Power-Forward
1.87,27.17,9.5,39.6,24.0,51.9,6.4,1.7,0.6,1.2,10.0,Small-Forward
1.83,18.26,7.0,60.0,40.2,90.3,1.3,0.7,0.0,1.3,5.9,Small-Forward
1.86,21.46,7.0,41.8,32.0,74.1,3.3,0.8,0.3,0.7,5.1,Small-Forward
1.83,28.19,13.1,55.7,31.7,75.4,5.2,2.2,0.1,1.5,15.1,Small-Forward
1.78,22.23,13.5,55.0,42.2,77.8,3.5,1.2,0.0,1.8,13.8,Small-Forward
1.88,25.1,8.7,44.9,28.1,68.1,4.2,1.3,0.3,1.2,8.9,Small-Forward
1.75,18.37,4.7,43.2,34.7,59.3,2.7,1.3,0.0,0.5,3.9,Shooting-Guard
1.85,23.14,7.6,41.9,28.7,73.5,3.4,1.7,0.2,1.2,7.1,Shooting-Guard
1.8,20.16,6.9,39.0,32.1,62.3,2.5,1.5,0.0,1.0,4.5,Shooting-Guard
1.78,25.41,10.0,44.3,36.9,78.4,3.8,1.7,0.3,1.7,9.9,Shooting-Guard
1.76,27.01,8.5,41.0,33.4,67.3,2.6,2.5,0.1,1.2,7.3,Shooting-Guard
1.78,23.22,13.4,52.1,44.0,87.3,3.1,1.4,0.1,1.4,13.3,Shooting-Guard
1.77,26.15,9.8,44.6,28.4,51.3,3.5,1.9,0.2,2.0,9.7,Shooting-Guard
