color,bitterness,strength,beer_style
2.0,18.0,0.049,Blanche
3.0,13.0,0.045,Blanche
4.0,17.0,0.052,Blanche
3.0,19.0,0.051,Blanche
3.0,14.0,0.047,Blanche
3.0,14.0,0.05,Blanche
3.0,11.0,0.046,Blanche
4.0,14.0,0.051,Blanche
4.0,15.0,0.051,Blanche
3.0,19.0,0.053,Blanche
3.0,10.0,0.048,Blanche
3.0,8.0,0.052,Blanche
2.0,17.0,0.05,Blanche
3.0,14.0,0.048,Blanche
3.0,14.0,0.044,Blanche
3.0,18.0,0.052,Blanche
3.0,10.0,0.046,Blanche
2.0,16.0,0.051,Blanche
4.0,12.0,0.048,Blanche
3.0,15.0,0.047,Blanche
2.0,11.0,0.049,Blanche
4.0,11.0,0.053,Blanche
2.0,17.0,0.046,Blanche
2.0,16.0,0.047,Blanche
3.0,15.0,0.048,Blanche
4.0,14.0,0.046,Blanche
2.0,17.0,0.049,Blanche
3.0,15.0,0.051,Blanche
4.0,11.0,0.045,Blanche
3.0,12.0,0.054,Blanche
3.0,23.0,0.052,Blanche
2.0,19.0,0.053,Blanche
0.0,16.0,0.043,Blanche
3.0,17.0,0.06,Blanche
0.0,16.0,0.046,Blanche
3.0,16.0,0.054,Blanche
3.0,22.0,0.05,Blanche
3.0,15.0,0.047,Blanche
4.0,21.0,0.052,Blanche
3.0,10.0,0.054,Blanche
3.0,12.0,0.048,Blanche
3.0,14.0,0.052,Blanche
0.0,16.0,0.056,Blanche
2.0,19.0,0.053,Blanche
4.0,20.0,0.052,Blanche
2.0,15.0,0.048,Blanche
2.0,13.0,0.048,Blanche
2.0,16.0,0.045,Blanche
3.0,10.0,0.052,Blanche
3.0,14.0,0.05,Blanche
9.0,27.0,0.05,Lager
11.0,20.0,0.055,Lager
20.0,23.0,0.053,Lager
10.0,22.0,0.054,Lager
8.0,25.0,0.052,Lager
11.0,21.0,0.055,Lager
7.0,29.0,0.055,Lager
11.0,20.0,0.054,Lager
11.0,22.0,0.049,Lager
12.0,22.0,0.051,Lager
12.0,26.0,0.052,Lager
11.0,26.0,0.052,Lager
12.0,24.0,0.051,Lager
10.0,24.0,0.055,Lager
7.0,23.0,0.051,Lager
7.0,24.0,0.055,Lager
8.0,23.0,0.052,Lager
10.0,24.0,0.052,Lager
8.0,39.0,0.053,Lager
9.0,26.0,0.049,Lager
12.0,26.0,0.051,Lager
9.0,21.0,0.049,Lager
10.0,24.0,0.055,Lager
9.0,24.0,0.056,Lager
9.0,22.0,0.052,Lager
11.0,26.0,0.048,Lager
10.0,26.0,0.049,Lager
7.0,24.0,0.056,Lager
9.0,27.0,0.052,Lager
9.0,24.0,0.054,Lager
10.0,22.0,0.055,Lager
10.0,23.0,0.054,Lager
11.0,21.0,0.051,Lager
